id	qus	ans
969	🤝	<Media omitted>
970	سلام عليكم	وعليكم السلام
971	السلام عليكم	وعليكم السلام
972	Hi	Hello
973	Hello	Hi
974	كيفك	تمام الحمد لله وانت؟
975	الحمدلله	هنيئاّ لمن حمد الله
976	العملك منو	نورالدائم
977	Do you speak english	Yes I speak English and trying learn to Sudanese Arabic 🇸🇩
978	what do you speak	I speak English and trying learn to Sudanese Arabic 🇸🇩
979	الأخبار والصحة	تمام التمام وانت
980	How old are	I dont know
981	What are u doing	Nothing😂😂
982	خبرك	تمام
983	تمام	دوام
984	whats your nationality	Im bot created by Sudanese developer so im Sudanese 🇸🇩
985	جنسيتك	Im bot created by Sudanese developer so im Sudanese 🇸🇩
986	هلا	أهلين
987	أهلين	هلا
988	صحتك	والله بخير الحمد لله
989	كيف احوالك	تماااام الحمد لله
990	زعلت	😶💔 معليش
991	Im angry	😶💔 معليش
992	سلام	سلام
993	وين	في اقتصاد هسي
994	وصلتو	اي
995	how are you	Im fine i hope you too
